left angle,right angle
149.2764930358979,101.35086523408737
149.2424978215491,101.57842835266054
151.311579384261,101.76162446441519
150.99622895463438,101.86723684738664
152.66584736283843,102.018361780601
153.78572113437465,101.92889081288013
151.78321675157233,101.2639320578825
147.97255802370609,100.77238060424939
147.27449417662356,100.25037397783838
146.99603439657884,98.60713903025288
146.51558327536824,98.70602051587092
146.37831234078863,98.80114150498822
146.81232475035276,99.00289459640602
146.63459015767395,99.71168717815382
146.95712243980356,100.12953721453366
149.84019088265273,100.20072476091369
149.67978482853707,100.27910094902016
152.11050683829225,100.84867994694828
151.64937722541595,101.83289158208099
151.51865915126285,103.0884676831167
152.00295901859587,102.118032885689
161.4611805216971,101.63028938678205
160.38962414898302,101.32876439499309
159.92244480009288,101.8733378322948
158.3490877570371,102.7228421308473
151.32937229179396,103.80517797299885
149.870125827945,104.10181333327441
148.74880673929633,104.63898493576559
152.11965589797057,105.33255004391808
162.53524812063026,105.4875538777907
165.1105202383376,105.61368028073534
166.29954264021075,105.81969098999559
168.99330007205128,106.15410501079099
172.4890534986669,106.60820783118969
170.72933092466963,106.71462996744755
170.28189492514235,106.7614591397105
167.7051079981569,106.58176479688039
166.47989794276722,105.91522443336514
173.82204118263385,105.89130322229363
179.2520976441968,105.682732214372
179.04025896821324,105.1019715547344
178.37861160134972,105.02323209409373
177.88868698603596,105.33371716304573
177.32340817933508,105.45181475243788
177.14953417584388,105.48770835735404
173.50234654692227,105.62714722571455
173.61263352313742,105.83782823461299
173.53296093951488,105.98767244019778
173.52194241711354,106.15158243852689
173.94429893709966,106.24097027388889
170.77310487935344,106.40255601766546
167.86480844537815,106.45713181452713
165.02203290031733,106.31151923324214
165.02431967280512,106.24485088201624
164.8416898997658,106.15145713471233
162.7999983326339,106.01671424952097
161.3756962700818,105.97341476131123
159.44950260862083,105.86772006665684
156.59651447016466,105.75989972930144
155.51016067205276,105.45550651649788
156.30173193028125,105.33386117697157
151.96320151251632,104.6479656215956
151.69586974384234,104.30441478108652
150.84781120853893,104.09056761124722
150.35575668925475,103.70932600204614
150.49646971098298,103.65368197933593
150.62860907091803,104.19335849625466
150.78477363599671,104.19935899445382
150.50687611447324,104.27256059245042
152.2131422603328,104.36212558565231
154.07832433251002,104.38352034214431
154.72695932836697,104.98873074813807
161.83335224338364,105.61604332334974
163.7967351903421,105.97948825910025
160.7144370673003,106.1311763588499
157.12468446003078,106.28172008840238
155.6194768363577,106.62113908882148
154.8235889305052,106.95440185333929
155.43430574259693,107.16423159263894
156.49503836706086,107.2459811992833
156.60523670387775,107.3105454152849
156.62652848121365,107.43038287367135
156.58770704993563,107.4828915457233
156.52322230166885,107.50490790177494
156.80235063402725,107.50075390781068
157.60785932429405,107.47684407474762
163.9893030030773,107.51710974253542
168.0763086089675,107.71492901588239
174.16147420969017,107.93798014491972
172.29397341680988,108.04113514030163
171.45947857565574,108.16303012942245
170.97315698345332,108.24088150233703
174.76841374510389,108.35251501180517
176.5505937061199,108.42848588296756
177.3159438584872,108.60985985438813
177.7017873214089,108.73824232092352
177.82523076501363,108.83342048636888
178.0414589074617,108.88885037174825
178.0009036103986,108.96586735568921
178.09905377612745,109.02431642209643
178.1975126923496,109.07516060584094
178.2963460323478,109.10592468576374
174.72222375711274,109.11641021153726
170.85048833987366,109.1445964809502
166.59928409823706,109.149625845225
165.46493232219427,109.163393690112
164.24926910871264,109.11280321814334
162.2844521654725,109.1226581723679
157.78247525335112,108.9609117990763
155.14603565020244,108.53802331972463
153.87221623003492,107.55016208030865
153.37099993289198,106.22242882112647
154.40060333287835,105.28006359805914
158.16057564398085,104.79478292911443
161.30030749383053,104.58180868933898
161.51058529765476,104.47991011294718
162.7352188978261,104.47339515163802
167.10960025987885,104.51912768438933
169.48989783846062,104.59321826073197
174.86148191699732,104.72050935391835
173.59784493398044,104.59890089493247
166.72664576870662,104.24699473976081
158.52058430773778,104.22375211565969
158.63373285012423,104.1204806564733
152.7230966740756,103.80864622224044
151.17619031235725,103.0703450603292
152.38608441315972,102.66835734594665
152.9316011435062,101.52748989223615
152.01727445415102,100.8883685562398
149.88946958214223,99.2109097341168
148.86523570096668,98.82974893147818
148.46074741368113,98.81831245433997
148.12438076864254,98.87782494446066
148.58099376041915,99.01828183275214
149.11467634437966,99.28191702014026
150.45956956351077,99.63845122505683
151.6942512345214,99.83966485317316
152.83484904160193,100.06711348355165
153.0700570616681,100.4671090668104
