left angle,right angle
147.48246937054736,116.05017557164703
146.64104044646473,116.47780943936681
147.04960691484683,116.48415139661543
145.154056622415,117.01656347457482
146.18629903213443,117.35195938594012
147.77435544266098,117.67504675645993
149.304748187804,118.14253002661759
151.40183105010354,118.42809601358005
154.254323339694,118.49367469102317
157.13372755031102,118.6133778032891
154.55544530004562,118.87870917699931
157.7081496226152,119.0483210989021
158.38124058248243,119.33119217401972
158.3891579811967,119.75540204469978
159.3863607449646,119.5948518260737
160.48905877670555,119.79381999237344
161.89461375541788,120.56828556278717
163.07924498710952,121.31485345136035
162.83483359750252,121.92407366737329
162.88613999218043,122.06316474789783
162.55735945271687,122.84468366764727
162.21665339473748,123.49474363164067
162.48284233492333,124.0250408052732
162.4360948290119,124.11770178127269
162.22313813866495,124.16065153560866
162.3416935022843,123.47408140026803
162.66285144151632,121.6845294129327
163.03763730271697,119.87078601440767
163.80312822625243,118.12724966637242
163.59182914745062,116.38518691764965
164.07139427163312,116.00267361691061
164.43148256264993,116.07293945778976
163.73327116416775,116.15424072748026
162.4926845773945,115.99587423015093
161.9655839705502,115.8349132482975
160.33529322869882,115.58791476168346
159.5790955454132,115.17904825256394
157.04302166168947,115.54190717793857
155.98547886736893,116.0630714761257
155.6431761518091,116.7648063178949
155.70988244943265,117.51529113371629
156.63788306476278,117.85706075612944
157.0311879036954,118.23257059207614
158.32885488733336,118.46598139821484
159.08618175805793,118.67372345454639
160.33528599741265,118.60787917428613
161.29950828129103,118.38783046130992
162.15313771748566,117.95679507365054
162.2086095120893,117.5309752851583
162.26967967314624,116.67526545380524
161.954064212459,115.36341829893585
160.14649864956834,114.85271076321858
158.89998510761401,114.66009492729843
157.21089150243,114.4236422647558
155.15183424517866,114.2030098116561
153.7457087948117,113.86629899224391
153.19809936224988,113.88099697366944
152.72541811131433,113.91334309412494
152.0068197694338,113.84325547538927
152.22873694191765,113.7494656869394
152.776444382829,113.61129786209719
154.33595574435486,113.6036481286572
158.32496495268265,113.50787112030346
160.89662371747892,114.00566771070207
162.42857182509408,115.09641434286551
163.74149725413045,115.8011840621562
164.93194908502414,116.63156447012355
164.77438953586605,116.89377845472353
164.1462543253307,117.06138995464754
163.871257651227,117.17157069186588
164.77930898361305,116.89958442686282
164.60377571040453,117.93210759786287
164.9549245129266,118.77876831014959
165.79108522827798,119.71033600248776
167.492994172107,120.23213308859368
168.1444099987582,120.81070659730798
167.6097160590117,121.46172996387742
167.3989067249612,121.48808905480453
165.47292513829302,121.55941759726846
161.70181660174342,121.52899451464542
159.97049445358266,122.1738052595468
160.52347750700017,122.08213754311979
160.46971406216676,122.10871864069341
161.0242641765963,122.53327603750861
160.90244143863265,123.16212084572481
161.047452879935,123.1029626227862
161.4188252892113,123.19206986710063
161.5284578802088,122.70195976903993
161.3752598886417,121.4837183780244
160.91446309587275,118.36878438261515
161.3909762835387,114.83861255334358
161.2400222760154,111.79434633815504
161.384554350516,110.80136909644975
162.5543712315264,110.57343905415229
163.629714174462,110.03987627627372
163.5883420243556,110.25377850722616
163.58994039930806,110.35051713241334
164.23474193080187,110.68975877558923
164.36845278033985,111.76322394172051
163.4709171278756,113.2901327730398
162.20604097152068,115.01429515101924
160.93163005303705,116.98170841417011
160.32510170968928,118.24938086646549
159.21430074380612,118.66391535019301
160.75126223761566,118.14821553720945
162.08548579688338,117.93413153847942
162.9209234499549,117.29972998807428
165.10024616005938,116.02418058143313
164.3016246379634,115.3829005906462
162.40486614620968,114.86119243408217
159.45347591123965,114.53799036385307
157.02819482680704,114.17603122126592
157.06815159338893,114.06893647991654
157.24773082066443,113.99231724100382
156.93654284437693,114.00500333517455
157.52299671832375,113.87011869937146
158.1697254674304,114.43106529764952
161.2394299378082,115.43698134862285
163.43102402479178,116.59764644610668
164.58333593726852,117.94837767558785
164.65482130748387,118.44238137347178
164.9371673971108,118.68886014104805
165.20121537802237,118.55200428439144
165.5056211423768,118.81620578696517
165.1998037928635,118.9453027201316
164.62949317533344,119.27218069840572
163.37279556417133,119.57975020341402
163.18802943624755,119.76546725194596
162.42172047180634,119.82251688776591
163.4563899887808,119.89360538201055
164.40574091139294,119.67892817706654
164.96838335150957,119.3887996855918
164.98122730497235,119.49170396873036
166.1693284513352,120.06996891615618
